+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| LITUSDT       | 0.0008675     | 0.001111    | 0.04938      | 49.92         | 0.01375      | 0.01678     | 0.01984        | 0.8989                 | 0.006183     | 791.0  | -230179.250868 |
| LINKUSDT      | 0.0008665     | 0.00136     | 0.05903      | 63.28         | 0.01056      | 0.01235     | 0.004587       | 0.9004                 | 0.004376     | 791.0  | -230179.250867 |
| ALPHAUSDT     | 0.0008571     | 0.000993    | 0.05344      | 59.37         | 0.01705      | 0.01634     | 0.02613        | 0.9226                 | 0.004146     | 791.0  | -230179.250857 |
| TRBUSDT       | 0.0008544     | 0.001139    | 0.06454      | 90.63         | 0.01892      | 0.01885     | 0.0415         | 0.9093                 | 0.00541      | 791.0  | -230179.250854 |
| STORJUSDT     | 0.0008376     | 0.001002    | 0.06986      | 66.75         | 0.01951      | 0.01679     | 0.0798         | 0.9134                 | 0.004517     | 791.0  | -230179.250838 |
| NEARUSDT      | 0.0008356     | 0.001257    | 0.07335      | 42.5          | 0.01887      | 0.01724     | 0.04781        | 0.9328                 | 0.006386     | 791.0  | -230179.250836 |
| PEOPLEUSDT    | 0.0008306     | 0.001113    | 0.04776      | 57.1          | 0.0191       | 0.01614     | 0.06233        | 0.9535                 | 0.002531     | 553.83 | -230179.250831 |
| AAVEUSDT      | 0.0008196     | 0.001505    | 0.05819      | 81.43         | 0.0183       | 0.01682     | 0.01706        | 0.942                  | 0.003761     | 791.0  | -230179.25082  |
| LEVERUSDT     | 0.0008168     | 0.0008304   | 0.0614       | 44.65         | 0.008279     | 0.007846    | 0.006435       | 0.9713                 | 0.002584     | 92.49  | -230179.250817 |
| COMPUSDT      | 0.0008159     | 0.001148    | 0.06834      | 68.48         | 0.01416      | 0.01391     | 0.02073        | 0.9252                 | 0.004985     | 791.0  | -230179.250816 |
| GALUSDT       | 0.0008116     | 0.001172    | 0.05747      | 52.93         | 0.01291      | 0.01726     | 0.01589        | 0.9181                 | 0.00641      | 421.41 | -230179.250812 |
| RSRUSDT       | 0.0008089     | 0.0008716   | 0.05424      | 51.07         | 0.01959      | 0.01865     | 0.03644        | 0.8886                 | 0.005193     | 791.0  | -230179.250809 |
| SSVUSDT       | 0.0008074     | 0.0009982   | 0.05363      | 40.95         | 0.01847      | 0.01562     | 0.04927        | 0.9505                 | 0.005118     | 126.5  | -230179.250807 |
| LUNA2USDT     | 0.0008041     | 0.0008196   | 0.05212      | 25.13         | 0.01478      | 0.01462     | 0.08382        | 0.9786                 | 0.001858     | 293.87 | -230179.250804 |
| WAVESUSDT     | 0.0007997     | 0.001104    | 0.05867      | 44.9          | 0.009942     | 0.0129      | 0.02092        | 0.9041                 | 0.005403     | 791.0  | -230179.2508   |
| NEOUSDT       | 0.0007875     | 0.001034    | 0.06024      | 62.92         | 0.01088      | 0.01487     | 0.05479        | 0.8957                 | 0.005903     | 791.0  | -230179.250787 |
| CTSIUSDT      | 0.0007797     | 0.000759    | 0.04254      | 51.03         | 0.01702      | 0.0191      | 0.08911        | 0.903                  | 0.005086     | 612.85 | -230179.25078  |
| XTZUSDT       | 0.0007768     | 0.0009885   | 0.07453      | 82.62         | 0.0134       | 0.0176      | 0.01916        | 0.918                  | 0.007367     | 791.0  | -230179.250777 |
| TRXUSDT       | 0.0007723     | 0.0008658   | 0.05793      | 38.55         | 0.00722      | 0.008698    | 0.03465        | 0.9178                 | 0.002757     | 791.0  | -230179.250772 |
| BALUSDT       | 0.0007663     | 0.0008288   | 0.06943      | 60.32         | 0.01705      | 0.01885     | 0.02727        | 0.8892                 | 0.006722     | 791.0  | -230179.250766 |
| ENSUSDT       | 0.0007622     | 0.001324    | 0.06771      | 46.97         | 0.01353      | 0.01582     | 0.04747        | 0.9103                 | 0.006179     | 577.85 | -230179.250762 |
