+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| ETHUSDT      | 0.0009648                 | 79.13         | 0.004092         | 0.004191        | 0.2632            | 0.9419                       | 0.00183         | 713.96 | -56012.500964755076 |
| SFPUSDT      | 0.0009614                 | 86.2          | 0.01392          | 0.01449         | 0.1054            | 0.8378                       | 0.005859        | 713.96 | -56012.50096142618  |
| ZECUSDT      | 0.000955                  | 95.52         | 0.01563          | 0.0149          | 0.1077            | 0.8298                       | 0.008467        | 713.96 | -56012.500955040756 |
| DASHUSDT     | 0.000933                  | 90.98         | 0.0144           | 0.0137          | 0.215             | 0.8441                       | 0.006483        | 713.96 | -56012.50093301658  |
| LITUSDT      | 0.0009278                 | 87.45         | 0.0156           | 0.01363         | 0.1268            | 0.8682                       | 0.005415        | 713.96 | -56012.50092776396  |
| CRVUSDT      | 0.0009138                 | 65.63         | 0.01117          | 0.01694         | 0.1485            | 0.8066                       | 0.00916         | 713.96 | -56012.50091376947  |
| KSMUSDT      | 0.0008979                 | 70.4          | 0.01516          | 0.01333         | 0.2468            | 0.8353                       | 0.006605        | 713.96 | -56012.50089787651  |
| FILUSDT      | 0.0008582                 | 83.13         | 0.02154          | 0.02124         | 0.2021            | 0.8827                       | 0.007423        | 713.96 | -56012.50085818689  |
| BCHUSDT      | 0.0008259                 | 95.63         | 0.01253          | 0.009522        | 0.2251            | 0.9493                       | 0.002701        | 713.96 | -56012.50082590009  |
| XTZUSDT      | 0.0008231                 | 85.23         | 0.01111          | 0.01565         | 0.1677            | 0.8231                       | 0.009922        | 713.96 | -56012.500823090915 |
| RUNEUSDT     | 0.0008163                 | 80.93         | 0.01537          | 0.01602         | 0.07235           | 0.8175                       | 0.009329        | 713.96 | -56012.50081633215  |
| BNBUSDT      | 0.0008002                 | 62.45         | 0.004344         | 0.005073        | 0.2972            | 0.8995                       | 0.003104        | 713.96 | -56012.50080023668  |
| LINAUSDT     | 0.000793                  | 89.62         | 0.01927          | 0.01708         | 0.2906            | 0.8531                       | 0.008386        | 713.96 | -56012.500792976396 |
| STMXUSDT     | 0.0007055                 | 93.57         | 0.01532          | 0.0172          | 0.2172            | 0.8146                       | 0.009779        | 713.96 | -56012.50070550584  |
| XEMUSDT      | 0.0006957                 | 72.8          | 0.009637         | 0.01254         | 0.2159            | 0.8227                       | 0.006449        | 713.96 | -56012.500695716764 |
