# note: symbols with little price history are not optimized on their own; instead the best config from among the symbols with more price history is chosen.

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| LEVERUSDT     | 0.0009488     | 0.0008985   | 0.04732      | 50.1          | 0.01288      | 0.01013     | 0.0            | 0.9762                 | 0.002014     | 92.46  | -240179.250949 |
| ZECUSDT       | 0.0009316     | 0.001524    | 0.0741       | 95.35         | 0.01218      | 0.01932     | 0.06415        | 0.8751                 | 0.007888     | 790.96 | -240179.250932 |
| MINAUSDT      | 0.0009165     | 0.001378    | 0.05247      | 87.6          | 0.008845     | 0.009616    | 0.01235        | 0.9518                 | 0.003567     | 143.5  | -240179.250917 |
| CFXUSDT       | 0.0009135     | 0.001158    | 0.04438      | 73.1          | 0.01714      | 0.01367     | 0.0297         | 0.9569                 | 0.0036       | 130.38 | -240179.250913 |
| PHBUSDT       | 0.0009123     | 0.001045    | 0.07191      | 45.23         | 0.01584      | 0.01411     | 0.05575        | 0.941                  | 0.006108     | 134.38 | -240179.250912 |
| SUSHIUSDT     | 0.0009106     | 0.0007766   | 0.01782      | 88.05         | 0.01493      | 0.01356     | 0.02388        | 0.909                  | 0.003528     | 790.96 | -240179.250911 |
| HOOKUSDT      | 0.0009101     | 0.001044    | 0.04357      | 77.55         | 0.01706      | 0.01292     | 0.01717        | 0.9592                 | 0.003406     | 158.83 | -240179.25091  |
| ASTRUSDT      | 0.0009098     | 0.0012      | 0.05531      | 65.55         | 0.01139      | 0.01015     | 0.07029        | 0.9623                 | 0.003933     | 136.88 | -240179.25091  |
| YFIUSDT       | 0.0009078     | 0.002753    | 0.03053      | 87.47         | 0.01159      | 0.012       | 0.02077        | 0.9173                 | 0.003409     | 790.96 | -240179.250908 |
| THETAUSDT     | 0.0009084     | 0.002755    | 0.07462      | 59.37         | 0.01143      | 0.01338     | 0.05575        | 0.8878                 | 0.006705     | 790.96 | -240179.250908 |
| AGIXUSDT      | 0.0009022     | 0.001438    | 0.07405      | 68.47         | 0.01534      | 0.01384     | 0.06714        | 0.9511                 | 0.005743     | 134.38 | -240179.250902 |
| REEFUSDT      | 0.0009        | 0.001544    | 0.06381      | 85.23         | 0.01633      | 0.01848     | 0.09114        | 0.88                   | 0.006974     | 790.96 | -240179.2509   |
| BANDUSDT      | 0.0009004     | 0.00143     | 0.05471      | 89.53         | 0.01611      | 0.01566     | 0.05763        | 0.9013                 | 0.00528      | 790.96 | -240179.2509   |
| SNXUSDT       | 0.0008976     | 0.00137     | 0.0743       | 78.75         | 0.01489      | 0.01804     | 0.06863        | 0.8916                 | 0.00691      | 790.96 | -240179.250898 |
| AMBUSDT       | 0.0008936     | 0.0008387   | 0.03102      | 69.82         | 0.01977      | 0.0165      | 0.0            | 0.9303                 | 0.004813     | 92.46  | -240179.250894 |
| FTMUSDT       | 0.0008926     | 0.001519    | 0.06874      | 92.6          | 0.01493      | 0.01727     | 0.06896        | 0.8729                 | 0.007306     | 790.96 | -240179.250893 |
| CVXUSDT       | 0.0008874     | 0.0009632   | 0.03141      | 62.13         | 0.00824      | 0.006869    | 0.001096       | 0.9751                 | 0.001441     | 281.46 | -240179.250887 |
| INJUSDT       | 0.0008807     | 0.0009596   | 0.01926      | 51.93         | 0.00839      | 0.006865    | 0.0            | 0.9872                 | 0.0007157    | 317.88 | -240179.250881 |
| SKLUSDT       | 0.000879      | 0.001456    | 0.06741      | 92.57         | 0.01493      | 0.01453     | 0.06286        | 0.9061                 | 0.005971     | 790.96 | -240179.250879 |
| DGBUSDT       | 0.0008655     | 0.001568    | 0.0722       | 80.62         | 0.01433      | 0.0188      | 0.06739        | 0.8623                 | 0.006621     | 790.96 | -240179.250865 |
| UNIUSDT       | 0.0008648     | 0.00169     | 0.07207      | 81.68         | 0.01212      | 0.01535     | 0.04847        | 0.8687                 | 0.005722     | 790.96 | -240179.250865 |
| IMXUSDT       | 0.0008587     | 0.001333    | 0.04966      | 94.5          | 0.01496      | 0.01144     | 0.01496        | 0.9618                 | 0.002647     | 504.83 | -240179.250859 |
| ANKRUSDT      | 0.0008563     | 0.001355    | 0.05423      | 85.53         | 0.01103      | 0.01159     | 0.09943        | 0.9096                 | 0.004205     | 790.96 | -240179.250856 |
| ZRXUSDT       | 0.0008521     | 0.001116    | 0.04087      | 74.9          | 0.01267      | 0.01486     | 0.0348         | 0.8958                 | 0.00475      | 790.96 | -240179.250852 |
| CKBUSDT       | 0.0008271     | 0.001445    | 0.05437      | 68.32         | 0.01319      | 0.01145     | 0.006725       | 0.9809                 | 0.001979     | 122.46 | -240179.250827 |
| ICXUSDT       | 0.0008158     | 0.001277    | 0.06655      | 90.77         | 0.0156       | 0.01781     | 0.07387        | 0.8769                 | 0.006784     | 790.96 | -240179.250816 |
