+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| OCEANUSDT    | 0.00208                   | 68.4          | 0.009583         | 0.0192          | 0.1514            | 0.8866                       | 0.009781        | 699.96 | -56012.50207987579  |
| AVAXUSDT     | 0.002077                  | 93.73         | 0.008507         | 0.01484         | 0.2667            | 0.8546                       | 0.009765        | 699.96 | -56012.50207744943  |
| CTSIUSDT     | 0.002054                  | 86.32         | 0.01263          | 0.01535         | 0.2324            | 0.8506                       | 0.00984         | 521.83 | -56012.50205416347  |
| NEARUSDT     | 0.002047                  | 61.47         | 0.009556         | 0.01676         | 0.2519            | 0.8822                       | 0.009184        | 699.96 | -56012.502047400456 |
| XRPUSDT      | 0.001952                  | 58.37         | 0.007641         | 0.01498         | 0.2778            | 0.8301                       | 0.009056        | 699.96 | -56012.50195185038  |
| MATICUSDT    | 0.001944                  | 80.95         | 0.007974         | 0.02026         | 0.265             | 0.8486                       | 0.008801        | 699.96 | -56012.501944279444 |
| SUSHIUSDT    | 0.001868                  | 62.62         | 0.01373          | 0.01224         | 0.1686            | 0.87                         | 0.008299        | 699.96 | -56012.50186765802  |
| REEFUSDT     | 0.001858                  | 78.88         | 0.01471          | 0.0149          | 0.2326            | 0.8008                       | 0.008965        | 699.96 | -56012.501858189935 |
| ARPAUSDT     | 0.001834                  | 95.87         | 0.01225          | 0.01575         | 0.182             | 0.8927                       | 0.009757        | 528.83 | -56012.50183403528  |
| NKNUSDT      | 0.001821                  | 92.42         | 0.01362          | 0.01467         | 0.2336            | 0.833                        | 0.009503        | 699.96 | -56012.501820590245 |
| UNFIUSDT     | 0.001814                  | 68.8          | 0.01785          | 0.01794         | 0.2755            | 0.8305                       | 0.00475         | 699.96 | -56012.50181420136  |
| HOTUSDT      | 0.001813                  | 75.33         | 0.008685         | 0.01674         | 0.1642            | 0.866                        | 0.009034        | 699.96 | -56012.50181310989  |
