+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| COMPUSDT     | 0.0004363                 | 61.93         | 0.01026          | 0.01021         | 0.3889            | 0.889                        | 0.005059        | 720.96 | -55123.2367586751   |
| STORJUSDT    | 0.0002835                 | 53.25         | 0.01061          | 0.01478         | 0.4248            | 0.8112                       | 0.008016        | 720.96 | -54764.88567823034  |
| OGNUSDT      | 0.0004839                 | 68.1          | 0.01093          | 0.01807         | 0.4561            | 0.7858                       | 0.0094          | 720.96 | -54451.595526113626 |
| XTZUSDT      | 0.0001698                 | 83.0          | 0.01071          | 0.02032         | 0.4694            | 0.7097                       | 0.009888        | 720.96 | -54318.411742581826 |
| QTUMUSDT     | 0.0003755                 | 85.63         | 0.01026          | 0.01342         | 0.4718            | 0.8088                       | 0.006745        | 720.96 | -54294.43712516666  |
| EGLDUSDT     | 0.0003884                 | 69.58         | 0.01075          | 0.013           | 0.4897            | 0.8692                       | 0.007604        | 720.96 | -54115.320106098945 |
| IOSTUSDT     | 0.0002339                 | 91.72         | 0.0105           | 0.01821         | 0.4974            | 0.7428                       | 0.009741        | 720.96 | -54038.115503248526 |
| FTMUSDT      | 0.0006944                 | 62.82         | 0.01107          | 0.02301         | 0.3239            | 0.6967                       | 0.01143         | 720.96 | -54015.662300533215 |
| TOMOUSDT     | 0.0005236                 | 60.18         | 0.01078          | 0.01396         | 0.5051            | 0.8338                       | 0.007397        | 720.96 | -53961.8778126936   |
| SXPUSDT      | 0.0005721                 | 81.47         | 0.01148          | 0.01822         | 0.4573            | 0.8143                       | 0.01053         | 720.96 | -53906.94996353131  |
| ZENUSDT      | 0.0004858                 | 82.42         | 0.0107           | 0.01711         | 0.5147            | 0.757                        | 0.008843        | 720.96 | -53865.134615304894 |
| SFPUSDT      | 0.0003124                 | 49.88         | 0.01098          | 0.01731         | 0.5199            | 0.7944                       | 0.009523        | 720.96 | -53813.209155829805 |
| BALUSDT      | 0.0003483                 | 89.97         | 0.01162          | 0.01941         | 0.5255            | 0.7414                       | 0.01013         | 720.96 | -53628.82037436621  |
| LTCUSDT      | 6.891e-05                 | 76.8          | 0.009162         | 0.0113          | 0.5678            | 0.8359                       | 0.005846        | 720.96 | -53334.00961442191  |
| XEMUSDT      | -0.0004604                | 94.45         | 0.009675         | 0.01199         | 0.5775            | 0.8057                       | 0.008387        | 720.96 | -53237.35079754509  |
| BCHUSDT      | 0.0001196                 | 376.2         | 0.01581          | 0.01645         | 0.0               | 0.9364                       | 0.002941        | 720.96 | -53210.00011955326  |
| KNCUSDT      | 0.0002867                 | 68.07         | 0.01122          | 0.01735         | 0.592             | 0.7949                       | 0.009282        | 720.96 | -53092.81220855028  |
