+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                          long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| CELRUSDT  | 0.001882      | 0.002224    | 0.06206      | 87.22         | 0.01148      | 0.01576     | 0.02471        | 0.9137                 | 0.003179     | 791.0  | -230179.301882 |
| RLCUSDT   | 0.00182       | 0.001488    | 0.06943      | 58.95         | 0.0185       | 0.01894     | 0.03234        | 0.9339                 | 0.002616     | 791.0  | -230179.30182  |
| NKNUSDT   | 0.001783      | 0.00251     | 0.06899      | 66.45         | 0.01531      | 0.01906     | 0.03815        | 0.9255                 | 0.004477     | 791.0  | -230179.301783 |
| OMGUSDT   | 0.001755      | 0.002118    | 0.06802      | 80.08         | 0.01081      | 0.01697     | 0.0337         | 0.9349                 | 0.003967     | 791.0  | -230179.301755 |
| HOTUSDT   | 0.001752      | 0.0014      | 0.06589      | 58.52         | 0.01307      | 0.01394     | 0.05902        | 0.9663                 | 0.002065     | 791.0  | -230179.301752 |
| ZRXUSDT   | 0.001732      | 0.00191     | 0.06955      | 55.82         | 0.01442      | 0.01553     | 0.04405        | 0.9325                 | 0.002956     | 791.0  | -230179.301732 |
| OCEANUSDT | 0.001708      | 0.002179    | 0.0699       | 65.9          | 0.01033      | 0.01396     | 0.04092        | 0.9535                 | 0.002898     | 791.0  | -230179.301708 |
| OGNUSDT   | 0.001703      | 0.001803    | 0.06762      | 47.67         | 0.01251      | 0.01138     | 0.02002        | 0.9818                 | 0.0008852    | 791.0  | -230179.301703 |
| ONEUSDT   | 0.001678      | 0.002681    | 0.06878      | 75.95         | 0.01313      | 0.01529     | 0.06979        | 0.9543                 | 0.003165     | 791.0  | -230179.301678 |
| ONTUSDT   | 0.001673      | 0.001564    | 0.06543      | 54.98         | 0.01159      | 0.01088     | 0.01612        | 0.9771                 | 0.001566     | 791.0  | -230179.301673 |
