+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                long                                                                                               |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| EGLDUSDT     | 0.0004977                 | 87.87         | 0.01399          | 0.01763         | 0.2789            | 0.8063                       | 0.009131        | 717.0  | -56012.5004977479   |
| BNBUSDT      | 0.000474                  | 95.35         | 0.007263         | 0.01634         | 0.2779            | 0.7916                       | 0.006864        | 717.0  | -56012.50047403319  |
| NEOUSDT      | 0.0004553                 | 82.57         | 0.01037          | 0.01319         | 0.2689            | 0.865                        | 0.004564        | 717.0  | -56012.50045526831  |
| LTCUSDT      | 0.0004539                 | 88.47         | 0.00747          | 0.007724        | 0.2984            | 0.9156                       | 0.002472        | 717.0  | -56012.50045387783  |
| ETHUSDT      | 0.0004423                 | 6.967         | 0.005651         | 0.006555        | 0.2767            | 0.9206                       | 0.002789        | 717.0  | -56012.500442264165 |
| EOSUSDT      | 0.0004171                 | 74.15         | 0.007855         | 0.009334        | 0.2012            | 0.9062                       | 0.0031          | 717.0  | -56012.50041714001  |
| BALUSDT      | 0.0003545                 | 77.47         | 0.008288         | 0.0107          | 0.2496            | 0.8625                       | 0.004004        | 717.0  | -56012.500354526535 |
| SFPUSDT      | 0.0003478                 | 84.63         | 0.01265          | 0.01525         | 0.2102            | 0.8523                       | 0.004805        | 717.0  | -56012.500347783774 |
| STMXUSDT     | 0.0003454                 | 72.53         | 0.01235          | 0.01323         | 0.2549            | 0.8744                       | 0.00432         | 717.0  | -56012.50034536404  |
| BCHUSDT      | 0.0003288                 | 84.7          | 0.009892         | 0.01567         | 0.2377            | 0.8293                       | 0.00531         | 717.0  | -56012.50032876055  |
| LINAUSDT     | 0.0002792                 | 73.73         | 0.01068          | 0.01147         | 0.224             | 0.9217                       | 0.002377        | 717.0  | -56012.500279238986 |
| BTCUSDT      | 0.0002569                 | 84.03         | 0.005477         | 0.005607        | 0.2242            | 0.9533                       | 0.001706        | 717.0  | -56012.5002568792   |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         short                                                                                          |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| symbol       | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score    |
+--------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| NKNUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 717.0  | -18040.0 |
