+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                    long                                                                                    |
+-------------+---------------+-------------+---------------+--------------+-------------+----------------+------------------------+--------------+---------+----------------+
| symbol      | adg_w_per_exp | adg_per_exp | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days  | score          |
| TOMOUSDT    | 0.001546      | 0.002223    | 46.3          | 0.01529      | 0.01282     | 0.1461         | 0.9307                 | 0.003656     | 943.71  | -57518.0015465 |
| XRPUSDT     | 0.001534      | 0.001762    | 53.68         | 0.01113      | 0.01196     | 0.01702        | 0.9529                 | 0.003779     | 1223.65 | -57518.0015343 |
| ATOMUSDT    | 0.001517      | 0.002361    | 66.62         | 0.01161      | 0.01991     | 0.1318         | 0.851                  | 0.005416     | 1191.49 | -57518.0015174 |
| STMXUSDT    | 0.00151       | 0.002044    | 40.27         | 0.01582      | 0.01988     | 0.05517        | 0.8973                 | 0.007716     | 782.71  | -57518.0015102 |
| DOTUSDT     | 0.001508      | 0.00241     | 61.63         | 0.01068      | 0.01755     | 0.01222        | 0.9011                 | 0.005904     | 994.71  | -57518.0015085 |
| UNFIUSDT    | 0.0015        | 0.001716    | 47.58         | 0.01927      | 0.01858     | 0.03517        | 0.8967                 | 0.004988     | 813.71  | -57518.0015002 |
| ANKRUSDT    | 0.001489      | 0.00226     | 49.1          | 0.01925      | 0.01963     | 0.106          | 0.9112                 | 0.007329     | 835.71  | -57518.0014889 |
| AUDIOUSDT   | 0.001448      | 0.001598    | 50.47         | 0.01029      | 0.009993    | 0.09574        | 0.9488                 | 0.002476     | 630.85  | -57518.0014484 |
| REEFUSDT    | 0.001439      | 0.002557    | 53.15         | 0.009793     | 0.01243     | 0.1317         | 0.9159                 | 0.003197     | 810.7   | -57518.0014393 |
| TRBUSDT     | 0.001429      | 0.001897    | 34.2          | 0.01983      | 0.01961     | 0.1193         | 0.9135                 | 0.005806     | 982.71  | -57518.0014295 |
| ALPHAUSDT   | 0.001422      | 0.002323    | 56.28         | 0.01257      | 0.0162      | 0.03049        | 0.8741                 | 0.004412     | 901.71  | -57518.0014216 |
| RUNEUSDT    | 0.001418      | 0.001882    | 56.17         | 0.01804      | 0.01734     | 0.01469        | 0.9075                 | 0.004743     | 981.7   | -57518.0014177 |
| TRXUSDT     | 0.001415      | 0.001683    | 61.93         | 0.01179      | 0.01253     | 0.141          | 0.916                  | 0.003252     | 1214.66 | -57518.0014151 |
| QTUMUSDT    | 0.001398      | 0.00143     | 44.95         | 0.01833      | 0.01877     | 0.1122         | 0.8998                 | 0.006255     | 1178.66 | -57518.0013979 |
| LPTUSDT     | 0.001391      | 0.001659    | 37.55         | 0.01708      | 0.01995     | 0.1046         | 0.9002                 | 0.007079     | 548.85  | -57518.0013908 |
| API3USDT    | 0.001381      | 0.002255    | 21.53         | 0.01295      | 0.01189     | 0.1254         | 0.9487                 | 0.003139     | 443.85  | -57518.0013813 |
| CHRUSDT     | 0.001341      | 0.002893    | 54.05         | 0.0163       | 0.01963     | 0.03017        | 0.9188                 | 0.006769     | 790.71  | -57518.0013407 |
| AVAXUSDT    | 0.001326      | 0.002546    | 60.1          | 0.01062      | 0.01895     | 0.133          | 0.8766                 | 0.006179     | 960.71  | -57518.0013258 |
| 1INCHUSDT   | 0.001321      | 0.002206    | 53.28         | 0.009765     | 0.01219     | 0.1428         | 0.9163                 | 0.003065     | 869.58  | -57518.001321  |
| 1000XECUSDT | 0.001307      | 0.001953    | 46.98         | 0.008576     | 0.01078     | 0.1483         | 0.9282                 | 0.003315     | 601.85  | -57518.0013066 |
| UNIUSDT     | 0.001295      | 0.001822    | 54.93         | 0.01483      | 0.01878     | 0.1271         | 0.9015                 | 0.00538      | 967.71  | -57518.0012946 |
| LINKUSDT    | 0.001262      | 0.002083    | 37.68         | 0.0109       | 0.01431     | 0.1238         | 0.8893                 | 0.005214     | 1212.66 | -57518.0012621 |
| SKLUSDT     | 0.001251      | 0.002003    | 46.53         | 0.0118       | 0.01334     | 0.1403         | 0.9008                 | 0.003739     | 886.68  | -57518.0012509 |
| DASHUSDT    | 0.001245      | 0.001383    | 33.97         | 0.01531      | 0.01703     | 0.1127         | 0.8892                 | 0.006117     | 1194.66 | -57518.0012448 |
| BANDUSDT    | 0.001237      | 0.001709    | 75.85         | 0.01752      | 0.0199      | 0.1285         | 0.8941                 | 0.006872     | 1016.71 | -57518.0012372 |
| AXSUSDT     | 0.001237      | 0.002028    | 62.43         | 0.01787      | 0.01962     | 0.09569        | 0.8967                 | 0.006614     | 902.7   | -57518.0012369 |
