# note: only symbols with data from (before) 01-05-2021 are used

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                          long                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| BALUSDT   | 0.0005185     | 0.001071    | 0.06648      | 72.0          | 0.01914      | 0.02        | 0.04146        | 0.9535                 | 0.002921     | 822.0  | -480179.300519 |
| RENUSDT   | 0.0005187     | 0.0006888   | 0.0367       | 57.17         | 0.01651      | 0.01746     | 0.02746        | 0.9656                 | 0.002203     | 822.0  | -480179.300519 |
| ZRXUSDT   | 0.0004873     | 0.001056    | 0.06746      | 36.43         | 0.01835      | 0.01988     | 0.05529        | 0.9549                 | 0.00327      | 822.0  | -480179.300487 |
| FLMUSDT   | 0.0004634     | 0.0008304   | 0.06833      | 52.28         | 0.01967      | 0.01863     | 0.04431        | 0.9619                 | 0.003103     | 822.0  | -480179.300463 |
| YFIUSDT   | 0.0004151     | 0.001486    | 0.06165      | 48.38         | 0.012        | 0.01986     | 0.08921        | 0.9585                 | 0.002762     | 822.0  | -480179.300415 |
| NEARUSDT  | 0.0003864     | 0.001111    | 0.05049      | 46.63         | 0.01475      | 0.01875     | 0.07615        | 0.9497                 | 0.003041     | 822.0  | -480179.300386 |
| ENJUSDT   | 0.000358      | 0.0005127   | 0.04525      | 47.28         | 0.01975      | 0.01882     | 0.07005        | 0.9719                 | 0.001247     | 822.0  | -480179.300358 |
| RSRUSDT   | 0.0004764     | 0.001103    | 0.03297      | 56.37         | 0.02057      | 0.019       | 0.0979         | 0.9692                 | 0.001706     | 822.0  | -480178.734462 |
| STORJUSDT | 0.0002816     | 0.0006247   | 0.03276      | 58.03         | 0.01981      | 0.02043     | 0.09985        | 0.9624                 | 0.00184      | 822.0  | -480175.026987 |
| TRBUSDT   | 0.0004086     | 0.0007741   | 0.03666      | 71.02         | 0.0215       | 0.02147     | 0.09989        | 0.9742                 | 0.0011       | 822.0  | -480163.093617 |
| UNIUSDT   | 0.00115       | 0.001642    | 0.1185       | 54.45         | 0.02196      | 0.02212     | 0.09799        | 0.9683                 | 0.002479     | 822.0  | -480155.68134  |
| XEMUSDT   | 0.000469      | 0.001347    | 0.0408       | 44.93         | 0.01523      | 0.04303     | 0.0981         | 0.8961                 | 0.005178     | 822.0  | -479949.035408 |
| AAVEUSDT  | 0.0007079     | 0.001295    | 0.124        | 83.55         | 0.03541      | 0.04171     | 0.188          | 0.9155                 | 0.006023     | 822.0  | -471145.872964 |
| KSMUSDT   | 0.001455      | 0.002473    | 0.1171       | 72.47         | 0.02048      | 0.02198     | 0.1946         | 0.9581                 | 0.002616     | 822.0  | -470698.506071 |
| AXSUSDT   | 0.0008731     | 0.002743    | 0.2073       | 87.55         | 0.02851      | 0.0459      | 0.2595         | 0.9276                 | 0.008061     | 822.0  | -463964.085107 |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                         short                                                                                          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol    | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
+-----------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| STMXUSDT  | 0.002302      | 0.001989    | 0.06482      | 60.1          | 0.01371      | 0.01276     | 0.0353         | 0.974                  | 0.001153     | 822.0  | -230179.302302 |
| OGNUSDT   | 0.002109      | 0.002345    | 0.06972      | 87.0          | 0.01427      | 0.01745     | 0.0169         | 0.9648                 | 0.001369     | 822.0  | -230179.302109 |
| STORJUSDT | 0.002044      | 0.00263     | 0.06962      | 76.0          | 0.01362      | 0.01573     | 0.01763        | 0.9731                 | 0.001316     | 822.0  | -230179.302044 |
| LITUSDT   | 0.001949      | 0.002252    | 0.06957      | 78.6          | 0.01424      | 0.01347     | 0.009717       | 0.9833                 | 0.0007801    | 822.0  | -230179.301949 |
| ALPHAUSDT | 0.001892      | 0.00193     | 0.06988      | 83.55         | 0.01934      | 0.01983     | 0.03413        | 0.9725                 | 0.001158     | 822.0  | -230179.301892 |
| CHZUSDT   | 0.001808      | 0.002483    | 0.06941      | 68.65         | 0.01114      | 0.01124     | 0.00492        | 0.9849                 | 0.0007224    | 822.0  | -230179.301808 |
| SKLUSDT   | 0.001599      | 0.001783    | 0.06862      | 82.0          | 0.01399      | 0.01434     | 0.02756        | 0.9812                 | 0.0009258    | 822.0  | -230179.301599 |
| OCEANUSDT | 0.001599      | 0.002088    | 0.06984      | 65.58         | 0.01534      | 0.01395     | 0.03894        | 0.9825                 | 0.0009558    | 822.0  | -230179.301599 |
| OMGUSDT   | 0.001559      | 0.001975    | 0.06339      | 80.6          | 0.01171      | 0.0154      | 0.01577        | 0.9711                 | 0.001479     | 822.0  | -230179.301559 |
| CHRUSDT   | 0.00155       | 0.002434    | 0.06845      | 83.43         | 0.01455      | 0.01699     | 0.01959        | 0.9571                 | 0.001447     | 822.0  | -230179.30155  |
| RSRUSDT   | 0.001532      | 0.002111    | 0.06971      | 55.77         | 0.01602      | 0.0155      | 0.01575        | 0.9794                 | 0.001145     | 822.0  | -230179.301532 |
| ZRXUSDT   | 0.001523      | 0.001929    | 0.06981      | 69.22         | 0.01449      | 0.01494     | 0.02589        | 0.9722                 | 0.001188     | 822.0  | -230179.301523 |
| BATUSDT   | 0.001518      | 0.001592    | 0.06968      | 61.38         | 0.01757      | 0.01855     | 0.03738        | 0.971                  | 0.0008942    | 822.0  | -230179.301518 |
| ZENUSDT   | 0.001516      | 0.00202     | 0.06902      | 88.07         | 0.01518      | 0.01441     | 0.04402        | 0.9724                 | 0.001177     | 822.0  | -230179.301516 |
| ANKRUSDT  | 0.001488      | 0.001774    | 0.06946      | 34.98         | 0.01457      | 0.01958     | 0.04138        | 0.9618                 | 0.002713     | 822.0  | -230179.301488 |
| FTMUSDT   | 0.001468      | 0.00217     | 0.06918      | 64.13         | 0.01857      | 0.01908     | 0.03532        | 0.9845                 | 0.001066     | 822.0  | -230179.301468 |
| NKNUSDT   | 0.001465      | 0.001955    | 0.06965      | 80.58         | 0.01677      | 0.01805     | 0.01225        | 0.9714                 | 0.001391     | 822.0  | -230179.301465 |
| KAVAUSDT  | 0.001449      | 0.001515    | 0.06974      | 70.42         | 0.01566      | 0.01861     | 0.04698        | 0.9629                 | 0.001879     | 822.0  | -230179.301449 |
| COTIUSDT  | 0.001432      | 0.001835    | 0.06955      | 87.88         | 0.01775      | 0.01817     | 0.02949        | 0.9816                 | 0.001245     | 822.0  | -230179.301432 |
| RLCUSDT   | 0.001427      | 0.001789    | 0.06993      | 78.77         | 0.01887      | 0.01924     | 0.01813        | 0.9781                 | 0.001337     | 822.0  | -230179.301427 |
| XRPUSDT   | 0.00142       | 0.001581    | 0.06855      | 66.1          | 0.01268      | 0.01734     | 0.03401        | 0.9756                 | 0.001561     | 822.0  | -230179.30142  |
