+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                           long (config no. 19051, score -56012.5014374164)                                                                           |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol          | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| ADAUSDT         | 0.0007393                 | 111.4         | 0.009847         | 0.01292         | 0.2039            | 0.8547                       | 0.006395        | 720.96 | -55858.16740596926  |
| UNIUSDT         | 0.0007032                 | 101.7         | 0.01136          | 0.01875         | 0.2688            | 0.7708                       | 0.009271        | 720.96 | -55955.33403650648  |
| DOTUSDT         | 0.0008204                 | 95.92         | 0.01013          | 0.01433         | 0.137             | 0.7921                       | 0.006737        | 720.96 | -56012.500820404166 |
| -> HBARUSDT     | 0.001169                  | 80.22         | 0.01052          | 0.01323         | 0.1833            | 0.8365                       | 0.006511        | 720.96 | -56012.50116909751  |
| -> 1000SHIBUSDT | 0.001194                  | 75.9          | 0.009457         | 0.02171         | 0.02915           | 0.729                        | 0.00985         | 711.25 | -56012.5011938221   |
| -> MANAUSDT     | 0.001264                  | 90.52         | 0.01051          | 0.01647         | 0.1329            | 0.7846                       | 0.00804         | 720.96 | -56012.50126370098  |
| -> DOGEUSDT     | 0.001285                  | 75.9          | 0.009814         | 0.01714         | 0.1655            | 0.7931                       | 0.008596        | 720.96 | -56012.50128545148  |
| -> SANDUSDT     | 0.00141                   | 73.48         | 0.01052          | 0.01771         | 0.0928            | 0.7794                       | 0.008915        | 720.96 | -56012.50141045566  |
| -> SUSHIUSDT    | 0.001419                  | 63.25         | 0.01165          | 0.01757         | 0.2059            | 0.7651                       | 0.008949        | 720.96 | -56012.50141948908  |
| -> ANKRUSDT     | 0.001471                  | 71.17         | 0.01182          | 0.01849         | 0.2702            | 0.7975                       | 0.009592        | 720.96 | -56012.50147149831  |
| -> SOLUSDT      | 0.001836                  | 60.35         | 0.01069          | 0.01411         | 0.09104           | 0.8588                       | 0.007634        | 720.96 | -56012.501835767514 |
| -> OCEANUSDT    | 0.001887                  | 56.37         | 0.01222          | 0.01831         | 0.1942            | 0.7982                       | 0.009473        | 720.96 | -56012.50188746455  |
| mean            | 0.001437                  | 71.91         | 0.0108           | 0.01719         | 0.1517            | 0.7936                       | 0.008618        | 720.86 | -56012.50143741635  |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                            short (config no. 2, score -18040.0)                                                                           |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| symbol          | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score    |
+-----------------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+----------+
| -> 1000SHIBUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 711.25 | -18040.0 |
| -> ADAUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| -> AAVEUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| -> ANKRUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| -> ALPHAUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| -> ALGOUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| -> AVAXUSDT     | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| -> BALUSDT      | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
| -> 1INCHUSDT    | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | 1.0                          | 0.0             | 720.96 | -18040.0 |
