+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                              long                                                                                              |
+-----------+---------------------------+---------------+------------------+-----------------+-------------------+------------------------------+-----------------+--------+---------------------+
| symbol    | adg_weighted_per_exposure | hrs_stuck_max | pa_distance_mean | pa_distance_std | loss_profit_ratio | eqbal_ratio_mean_of_10_worst | eqbal_ratio_std | n_days | score               |
| AUDIOUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 55.88  | -18040.0 |
| AXSUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 83.04  | -18040.0 |
| CHRUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 71.83  | -18040.0 |
| KSMUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 86.75  | -18040.0 |
| ATOMUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 111.71 | -18040.0 |
| ZRXUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 97.96  | -18040.0 |
| TRXUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 114.04 | -18040.0 |
| MATICUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 85.96  | -18040.0 |
| SKLUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 81.25  | -18040.0 |
| RUNEUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 90.75  | -18040.0 |
| NEARUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 86.62  | -18040.0 |
| SXPUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 95.25  | -18040.0 |
| WAVESUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 93.04  | -18040.0 |
| OMGUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 97.12  | -18040.0 |
| HBARUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 71.33  | -18040.0 |
| ALGOUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 98.75  | -18040.0 |
| ANKRUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 76.33  | -18040.0 |
| RSRUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 86.25  | -18040.0 |
| APEUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 34.83  | -18040.0 |
| EGLDUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 89.75  | -18040.0 |
| SNXUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 92.83  | -18040.0 |
| APTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 13.25  | -18040.0 |
| MANAUSDT  | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 71.54  | -18040.0 |
| XTZUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 111.83 | -18040.0 |
| GRTUSDT   | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 80.17  | -18040.0 |
| ALPHAUSDT | 0.0                       | nan           | 100.0            | 1.0             | 1.0               | nan                          | 0.0             | 82.75  | -18040.0 |
