+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| NEOUSDT       | 0.0009621     | 0.001251    | 0.06854      | 53.73         | 0.01095      | 0.01758     | 0.06933        | 0.8779                 | 0.007335     | 791.0  | -480179.300962 |
| WOOUSDT       | 0.0009484     | 0.001179    | 0.04422      | 36.38         | 0.01187      | 0.01573     | 0.05194        | 0.9154                 | 0.006317     | 448.85 | -480179.300948 |
| DASHUSDT      | 0.0009456     | 0.001236    | 0.06264      | 43.53         | 0.01223      | 0.01288     | 0.04075        | 0.921                  | 0.004789     | 791.0  | -480179.300946 |
| APTUSDT       | 0.0009305     | 0.001099    | 0.04452      | 62.22         | 0.01112      | 0.01106     | 0.02939        | 0.9559                 | 0.003055     | 254.92 | -480179.300931 |
| SANDUSDT      | 0.0009112     | 0.001294    | 0.06785      | 71.25         | 0.0166       | 0.01944     | 0.04793        | 0.8763                 | 0.007895     | 791.0  | -480179.300911 |
| SNXUSDT       | 0.0009086     | 0.00132     | 0.06327      | 64.05         | 0.01445      | 0.01992     | 0.05467        | 0.8794                 | 0.008255     | 791.0  | -480179.300909 |
| OGNUSDT       | 0.0009082     | 0.001331    | 0.06646      | 52.17         | 0.0195       | 0.0197      | 0.07999        | 0.8739                 | 0.006645     | 791.0  | -480179.300908 |
| PHBUSDT       | 0.0008986     | 0.001405    | 0.05996      | 39.02         | 0.01252      | 0.01246     | 0.05494        | 0.9418                 | 0.004435     | 134.39 | -480179.300899 |
| IDEXUSDT      | 0.0008961     | 0.002102    | 0.05489      | 32.07         | 0.01269      | 0.009591    | 0.02248        | 0.9857                 | 0.001723     | 58.5   | -480179.300896 |
| AUDIOUSDT     | 0.0008955     | 0.001353    | 0.06887      | 52.78         | 0.01299      | 0.0118      | 0.02117        | 0.9337                 | 0.004005     | 680.85 | -480179.300896 |
| SKLUSDT       | 0.0008891     | 0.001348    | 0.06949      | 46.98         | 0.0154       | 0.01741     | 0.04575        | 0.878                  | 0.007099     | 791.0  | -480179.300889 |
| CVXUSDT       | 0.0008806     | 0.0007966   | 0.06511      | 59.07         | 0.01181      | 0.01119     | 0.05495        | 0.9679                 | 0.002866     | 281.49 | -480179.300881 |
| EOSUSDT       | 0.0008773     | 0.001068    | 0.06683      | 59.78         | 0.01366      | 0.01179     | 0.02384        | 0.9486                 | 0.003012     | 791.0  | -480179.300877 |
| ALPHAUSDT     | 0.0008726     | 0.001287    | 0.06727      | 28.78         | 0.01302      | 0.01847     | 0.07795        | 0.8601                 | 0.007798     | 791.0  | -480179.300873 |
| FLMUSDT       | 0.0008701     | 0.001293    | 0.06948      | 70.22         | 0.01927      | 0.01874     | 0.09866        | 0.9044                 | 0.007337     | 791.0  | -480179.30087  |
| MATICUSDT     | 0.0008697     | 0.001323    | 0.05981      | 66.5          | 0.01358      | 0.01743     | 0.0179         | 0.8802                 | 0.0069       | 791.0  | -480179.30087  |
| CHRUSDT       | 0.0008629     | 0.001496    | 0.06898      | 64.08         | 0.01497      | 0.01851     | 0.03006        | 0.9006                 | 0.007541     | 791.0  | -480179.300863 |
| ONEUSDT       | 0.0008631     | 0.001525    | 0.04528      | 47.08         | 0.01256      | 0.01577     | 0.09822        | 0.8792                 | 0.005993     | 791.0  | -480179.300863 |
| STORJUSDT     | 0.0008376     | 0.001002    | 0.06986      | 66.75         | 0.01951      | 0.01679     | 0.0798         | 0.9134                 | 0.004517     | 791.0  | -480179.300838 |
| FILUSDT       | 0.0008292     | 0.000935    | 0.065        | 58.05         | 0.01339      | 0.01706     | 0.03734        | 0.9052                 | 0.007083     | 791.0  | -480179.300829 |
| LINKUSDT      | 0.0008266     | 0.001181    | 0.06833      | 50.33         | 0.01327      | 0.01814     | 0.02213        | 0.9012                 | 0.007655     | 791.0  | -480179.300827 |
| CKBUSDT       | 0.0008272     | 0.001007    | 0.0658       | 43.0          | 0.01261      | 0.01165     | 0.03806        | 0.9669                 | 0.003388     | 122.5  | -480179.300827 |
| RSRUSDT       | 0.0008089     | 0.0008716   | 0.05424      | 51.07         | 0.01959      | 0.01865     | 0.03644        | 0.8886                 | 0.005193     | 791.0  | -480179.300809 |
| SSVUSDT       | 0.0008074     | 0.0009982   | 0.05363      | 40.95         | 0.01847      | 0.01562     | 0.04927        | 0.9505                 | 0.005118     | 126.5  | -480179.300807 |
| LUNA2USDT     | 0.0008041     | 0.0008196   | 0.05212      | 25.13         | 0.01478      | 0.01462     | 0.08382        | 0.9786                 | 0.001858     | 293.87 | -480179.300804 |
| IOSTUSDT      | 0.0007912     | 0.001081    | 0.06762      | 48.63         | 0.01215      | 0.01365     | 0.01339        | 0.9136                 | 0.00549      | 791.0  | -480179.300791 |
| XLMUSDT       | 0.0007811     | 0.00125     | 0.06336      | 84.73         | 0.009829     | 0.0126      | 0.02284        | 0.9109                 | 0.003914     | 791.0  | -480179.300781 |
| ENJUSDT       | 0.0007798     | 0.001213    | 0.06938      | 63.57         | 0.01508      | 0.01954     | 0.04349        | 0.9127                 | 0.007883     | 791.0  | -480179.30078  |
| TRXUSDT       | 0.0007764     | 0.0008427   | 0.05807      | 38.55         | 0.007196     | 0.008716    | 0.04513        | 0.9179                 | 0.00275      | 791.0  | -480179.300776 |
| COMPUSDT      | 0.0007683     | 0.001249    | 0.06889      | 82.1          | 0.01623      | 0.01622     | 0.06401        | 0.8882                 | 0.006199     | 791.0  | -480179.300768 |
| BALUSDT       | 0.0007663     | 0.0008288   | 0.06943      | 60.32         | 0.01705      | 0.01885     | 0.02727        | 0.8892                 | 0.006722     | 791.0  | -480179.300766 |
| ENSUSDT       | 0.0007622     | 0.001324    | 0.06771      | 46.97         | 0.01353      | 0.01582     | 0.04747        | 0.9103                 | 0.006179     | 577.85 | -480179.300762 |
| ZRXUSDT       | 0.000759      | 0.00076     | 0.06604      | 47.45         | 0.01991      | 0.0196      | 0.0948         | 0.8875                 | 0.006914     | 791.0  | -480179.300759 |
| BLZUSDT       | 0.0007406     | 0.0009578   | 0.05726      | 56.02         | 0.0197       | 0.01987     | 0.03532        | 0.8928                 | 0.007184     | 791.0  | -480179.300741 |
| XTZUSDT       | 0.000732      | 0.0009215   | 0.06966      | 75.27         | 0.01338      | 0.01782     | 0.01878        | 0.9179                 | 0.00737      | 791.0  | -480179.300732 |
| 1INCHUSDT     | 0.0007306     | 0.001184    | 0.0642       | 52.73         | 0.01493      | 0.01834     | 0.061          | 0.8715                 | 0.007413     | 791.0  | -480179.300731 |
| DARUSDT       | 0.0007179     | 0.0009553   | 0.04817      | 40.12         | 0.01239      | 0.01159     | 0.0242         | 0.9514                 | 0.003127     | 427.85 | -480179.300718 |
| EGLDUSDT      | 0.0006823     | 0.001543    | 0.06719      | 57.67         | 0.01103      | 0.01574     | 0.03849        | 0.8931                 | 0.006288     | 791.0  | -480179.300682 |
| STGUSDT       | 0.0006721     | 0.0006853   | 0.06913      | 71.92         | 0.01787      | 0.01778     | 0.05804        | 0.9268                 | 0.00623      | 309.5  | -480179.300672 |
| JASMYUSDT     | 0.0006694     | 0.0006815   | 0.02031      | 57.25         | 0.01328      | 0.01126     | 0.0955         | 0.9565                 | 0.001898     | 436.85 | -480179.300669 |
| ACHUSDT       | 0.0006663     | 0.001134    | 0.02675      | 60.75         | 0.01146      | 0.008816    | 0.05975        | 0.987                  | 0.001033     | 128.39 | -480179.300666 |
| BATUSDT       | 0.000631      | 0.001138    | 0.06963      | 46.58         | 0.01227      | 0.01796     | 0.07746        | 0.8744                 | 0.007546     | 791.0  | -480179.300631 |
| ARUSDT        | 0.0006117     | 0.0008666   | 0.05186      | 52.9          | 0.0185       | 0.0164      | 0.032          | 0.914                  | 0.004568     | 640.85 | -480179.300612 |
| IOTAUSDT      | 0.0006099     | 0.000981    | 0.06932      | 51.68         | 0.01275      | 0.01429     | 0.05522        | 0.9184                 | 0.005657     | 791.0  | -480179.30061  |
| ETCUSDT       | 0.0005786     | 0.001469    | 0.06295      | 55.38         | 0.009431     | 0.0104      | 0.0628         | 0.9421                 | 0.004507     | 791.0  | -480179.300579 |
| QTUMUSDT      | 0.0005758     | 0.0009935   | 0.06963      | 51.1          | 0.01663      | 0.0182      | 0.06334        | 0.8849                 | 0.007453     | 791.0  | -480179.300576 |
| TRUUSDT       | 0.000567      | 0.0009994   | 0.06872      | 53.47         | 0.01873      | 0.01554     | 0.02871        | 0.9675                 | 0.003383     | 115.5  | -480179.300567 |
| MASKUSDT      | 0.0005442     | 0.0007779   | 0.03415      | 57.72         | 0.01597      | 0.01776     | 0.0312         | 0.8912                 | 0.00572      | 672.85 | -480179.300544 |
| GMXUSDT       | 0.0004777     | 0.0005843   | 0.05144      | 21.12         | 0.01604      | 0.01297     | 0.09556        | 0.9907                 | 0.001433     | 133.39 | -480179.300478 |
| APEUSDT       | 0.0004642     | 0.0006616   | 0.03523      | 56.03         | 0.0129       | 0.01136     | 0.03669        | 0.9695                 | 0.002294     | 470.37 | -480179.300464 |
| AVAXUSDT      | 0.0004552     | 0.001416    | 0.06613      | 48.23         | 0.01477      | 0.0146      | 0.06969        | 0.9131                 | 0.004721     | 791.0  | -480179.300455 |
| API3USDT      | 0.0004128     | 0.00062     | 0.03567      | 55.87         | 0.01267      | 0.01118     | 0.02869        | 0.966                  | 0.001933     | 493.85 | -480179.300413 |
| CTSIUSDT      | 0.0004037     | 0.0004394   | 0.01946      | 60.97         | 0.01565      | 0.01394     | 0.01684        | 0.9666                 | 0.001285     | 612.85 | -480179.300404 |
| FLOWUSDT      | 0.0003613     | 0.0004136   | 0.02745      | 72.7          | 0.01467      | 0.01332     | 0.02018        | 0.9549                 | 0.002117     | 505.85 | -480179.300361 |
| LEVERUSDT     | 0.0003516     | 0.0006712   | 0.05764      | 45.05         | 0.01561      | 0.01365     | 0.03779        | 0.9793                 | 0.002775     | 92.49  | -480179.300352 |
| DUSKUSDT      | 0.000345      | 0.0004358   | 0.02924      | 63.27         | 0.01774      | 0.01798     | 0.02916        | 0.8932                 | 0.004559     | 539.85 | -480179.300345 |
| YFIUSDT       | 0.0003246     | 0.0007867   | 0.0387       | 69.32         | 0.01509      | 0.01514     | 0.02331        | 0.9078                 | 0.003455     | 791.0  | -480179.300325 |
| ANTUSDT       | 0.000305      | 0.0008108   | 0.05087      | 69.17         | 0.01986      | 0.01797     | 0.09398        | 0.9062                 | 0.005457     | 550.83 | -480179.300305 |
| KNCUSDT       | 0.0003018     | 0.001086    | 0.0271       | 78.8          | 0.01478      | 0.01333     | 0.08064        | 0.9126                 | 0.003139     | 791.0  | -480179.300302 |
| SXPUSDT       | 0.0002836     | 0.0009597   | 0.03008      | 69.62         | 0.01476      | 0.01322     | 0.09121        | 0.9199                 | 0.003355     | 791.0  | -480179.300284 |
| MAGICUSDT     | 0.001039      | 0.001494    | 0.07364      | 38.78         | 0.01368      | 0.01587     | 0.02357        | 0.9472                 | 0.007063     | 156.87 | -480179.264628 |
