+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                            long                                                                                            |
+---------------+---------------+-------------+--------------+---------------+--------------+-------------+----------------+------------------------+--------------+--------+----------------+
| symbol        | adg_w_per_exp | adg_per_exp | exp_rts_mean | hrs_stuck_max | pa_dist_mean | pa_dist_std | loss_profit_rt | eqbal_rt_10_worst_mean | eqbal_rt_std | n_days | score          |
| IDEXUSDT      | 0.001225      | 0.001893    | 0.06896      | 34.5          | 0.01296      | 0.01026     | 0.01104        | 0.9827                 | 0.002009     | 56.5   | -480179.301225 |
| BANDUSDT      | 0.001216      | 0.001645    | 0.06668      | 52.8          | 0.01394      | 0.01587     | 0.01717        | 0.8789                 | 0.006005     | 905.0  | -480179.301216 |
| MKRUSDT       | 0.001215      | 0.001983    | 0.06514      | 75.87         | 0.0112       | 0.01364     | 0.04885        | 0.8976                 | 0.005533     | 905.0  | -480179.301215 |
| CHZUSDT       | 0.001196      | 0.002099    | 0.06532      | 46.6          | 0.01086      | 0.01838     | 0.03239        | 0.8605                 | 0.006925     | 888.71 | -480179.301196 |
| LDOUSDT       | 0.001191      | 0.001097    | 0.06931      | 56.97         | 0.01935      | 0.01637     | 0.06446        | 0.9348                 | 0.004295     | 279.5  | -480179.301191 |
| QNTUSDT       | 0.001189      | 0.001131    | 0.05676      | 49.73         | 0.01247      | 0.01216     | 0.05606        | 0.9739                 | 0.001735     | 251.89 | -480179.301189 |
| TLMUSDT       | 0.00118       | 0.001005    | 0.04702      | 23.93         | 0.007682     | 0.006575    | 0.01052        | 0.9864                 | 0.001231     | 90.48  | -480179.30118  |
| HOOKUSDT      | 0.001179      | 0.001434    | 0.063        | 43.17         | 0.01393      | 0.01155     | 0.01812        | 0.9581                 | 0.004213     | 156.87 | -480179.301179 |
| CKBUSDT       | 0.00117       | 0.001598    | 0.05621      | 41.38         | 0.01015      | 0.01013     | 0.02388        | 0.964                  | 0.003493     | 120.5  | -480179.30117  |
| HBARUSDT      | 0.001169      | 0.00186     | 0.06905      | 52.13         | 0.01082      | 0.01219     | 0.0175         | 0.9028                 | 0.004961     | 833.71 | -480179.301169 |
